Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-95.939705	22.495356	-48.641495	-120.83669	-121.64148	1.1515423	-119.667244	-122.474174	282.07144	42.2	3999	3.8218691	6.1856456	75.42425	-120.99036	3.8225975	6.302134	75.86873	-146.26642	-0.82704115	2.8695643	31.092865	-10.192629	-4.896485	13.704472	28.44572353363037
2	-89.25706	27.58805	-46.731667	-122.9475	-75.48542	4.764787	-70.64354	-83.713	349.0	1000.0	7999	39.875736	50.695328	331.49002	-183.11589	39.874626	50.725384	327.31308	-167.44286	1.7325919	3.7934773	33.4088	-13.432355	-42.440426	23.87657	71.78423285484314
3	-88.95427	32.762287	-47.51143	-147.15912	-55.641045	2.4161973	-52.30964	-59.49625	493.25	1000.0	11999	94.02666	66.12191	366.4465	-200.89725	94.02594	66.131874	361.40054	-219.36282	1.8562311	2.6017115	24.51015	-12.1391535	-96.73694	29.800758	115.4044291973114
4	-108.95407	18.286955	-54.715137	-155.15085	-112.22152	3.040701	-109.43987	-117.82787	204.27272	55.2	15999	128.7309	51.43544	319.77533	-244.08235	128.73116	51.436634	315.90207	-209.41187	1.5343709	2.7730718	25.553566	-12.155706	-130.93643	46.22419	154.16117215156555
5	-116.66709	5.734072	-107.035416	-129.37901	-116.84519	7.2184362	-106.68204	-125.77435	97.2	142.2	19999	139.05121	47.372173	278.8688	-553.98834	139.05492	47.365417	278.1553	-508.8488	2.118201	3.08262	52.43929	-11.795054	-141.18178	55.46589	193.14897418022156
6	-116.33607	17.428253	-42.013714	-146.92442	-116.935196	18.41522	-97.95157	-143.69565	149.21428	164.9	23999	129.135	64.104866	221.88779	-220.81511	129.13799	64.10759	217.4448	-230.4566	2.2187066	3.344423	52.302864	-13.376736	-130.88174	42.5454	232.438467502594
7	-107.997536	17.27146	-69.276825	-135.22205	-74.54768	0.97986615	-73.58244	-77.26551	222.73334	1000.0	27999	108.31621	69.319954	180.23555	-183.01402	108.3161	69.32529	179.80609	-193.51788	0.642421	3.0218797	26.953848	-13.447073	-109.4987	27.72987	276.55342173576355
8	-57.34712	2.8317862	-53.584396	-60.554188	-63.23516	36.63312	-21.637753	-120.53655	1000.0	720.0	31999	99.3304	62.92718	164.00812	-151.32611	99.329	62.9315	163.55508	-145.62274	0.38316116	3.0776868	22.24318	-15.405912	-100.68749	20.649399	319.08201146125793
9	-68.70823	27.296555	-51.719936	-122.990906	-31.380253	2.450269	-27.912876	-36.0949	828.6	1000.0	35999	92.65077	54.14413	145.09839	-139.70851	92.64981	54.148956	144.84358	-140.24242	-0.17325832	2.9924834	21.562052	-11.061205	-93.81917	14.602128	363.41811180114746
10	-49.773407	1.0105681	-48.074078	-50.66047	-20.576384	5.0466523	-12.759493	-26.934902	1000.0	1000.0	39999	84.51003	46.913174	126.856255	-142.08208	84.5089	46.91844	125.65281	-135.20773	-0.8074927	2.8348453	22.669416	-10.459904	-85.47222	10.411775	407.97937059402466
11	-48.921814	1.3263049	-47.95721	-51.182438	-31.244629	7.6452203	-22.146574	-48.73528	1000.0	1000.0	43999	75.22103	41.710846	109.85553	-155.44522	75.22058	41.713142	110.96654	-148.04582	-1.2400802	2.5476897	17.910608	-13.769257	-76.01901	7.490236	452.6578459739685
12	-50.34287	3.407299	-46.352	-55.771107	-120.45487	0.70309037	-118.57128	-121.35742	1000.0	72.2	47999	67.3843	37.29991	96.34795	-147.45721	67.38372	37.300724	95.739296	-146.8861	-1.4965289	2.3418279	19.06018	-10.237061	-68.105156	5.6200104	492.48859906196594
13	-80.53725	32.134357	-49.662537	-124.19068	-16.293741	3.2362332	-8.000636	-19.599987	604.4286	1000.0	51999	60.506725	34.965115	83.463875	-133.55281	60.50641	34.964493	84.85031	-134.72653	-1.7020447	2.0983222	19.411093	-12.5156555	-61.15325	4.9494767	538.5510060787201
14	-48.456436	1.1673255	-46.837765	-50.07275	-11.737443	1.6152667	-8.496072	-12.7165365	1000.0	1000.0	55999	55.1202	33.187748	77.66105	-123.5907	55.12017	33.18658	78.21424	-127.6489	-1.8093276	1.9791207	20.333248	-11.610464	-55.759937	4.6503787	585.1414515972137
15	-51.19105	3.180583	-48.451515	-56.59323	-10.662844	0.92786264	-8.606527	-11.872889	1000.0	1000.0	59999	51.183987	31.692524	71.742584	-121.48155	51.184326	31.690983	72.29307	-116.84299	-1.8318185	1.9714991	24.420334	-11.3128195	-51.83174	4.1301613	632.6585834026337
16	-47.551273	2.597254	-43.637287	-50.920364	-9.791689	0.1317122	-9.67111	-10.120763	1000.0	1000.0	63999	48.504204	29.924683	67.88022	-121.524796	48.50418	29.92346	67.959274	-117.37627	-1.9008121	1.924369	19.041508	-10.329175	-49.137512	3.4858732	681.9349291324615
17	-45.8989	0.9409874	-44.365482	-46.929077	-14.652323	1.5649813	-11.927776	-15.913721	1000.0	1000.0	67999	46.201393	28.834698	64.14396	-124.18821	46.20143	28.832352	64.08126	-111.46961	-1.953409	1.8796437	20.72042	-10.673865	-46.813267	3.1646018	733.9984102249146
18	-48.757042	1.162891	-46.857433	-50.00855	-12.717547	0.53947836	-11.35965	-13.19149	1000.0	1000.0	71999	44.5231	27.786242	61.180294	-118.57331	44.522663	27.784067	61.600548	-112.61542	-2.0052087	1.8179452	22.229692	-10.952658	-45.134235	2.8899443	789.6053261756897
19	-47.962997	1.2565871	-46.670406	-49.862564	-11.873918	0.31874323	-11.265365	-12.183181	1000.0	1000.0	75999	43.41389	26.596601	58.83487	-115.91356	43.4139	26.593723	59.561607	-120.66726	-2.058338	1.7619113	20.915432	-10.531771	-44.02691	2.622368	847.9676780700684
20	-46.238777	2.4884565	-43.094574	-49.48281	-10.793588	0.7272164	-10.352598	-12.298673	1000.0	1000.0	79999	42.561184	25.424973	57.44185	-150.30585	42.560825	25.423306	57.252117	-145.20107	-2.1203482	1.694454	20.099693	-11.550858	-43.16161	2.269942	908.6659693717957
21	-46.04518	1.2028399	-44.107174	-47.412037	-13.837543	0.64885765	-12.8171015	-14.354775	1000.0	1000.0	83999	41.99647	24.340397	55.946835	-123.34058	41.996723	24.33804	56.58315	-119.87392	-2.1281838	1.6749952	21.349743	-10.353769	-42.594917	1.987839	971.4980294704437
